timestamp_ms,monotonic_ts,pressure
1779243764512,597778.774043,65
1779243764532,597778.794329,71
1779243764552,597778.814597,65
1779243764573,597778.834890,67
1779243764593,597778.855437,71
1779243764614,597778.875714,66
1779243764634,597778.896054,65
1779243764649,597778.911323,63
1779243764671,597778.932982,63
1779243764691,597778.953287,61
1779243764713,597778.974709,62
1779243764733,597778.995013,62
1779243764753,597779.015304,61
1779243764768,597779.030518,61
1779243764789,597779.050823,61
1779243764810,597779.071634,61
1779243764830,597779.092406,60
1779243764852,597779.113819,59
1779243764872,597779.134090,59
1779243764888,597779.150549,59
1779243764909,597779.171021,58
1779243764929,597779.191308,58
1779243764949,597779.211567,58
1779243764970,597779.232180,57
1779243764990,597779.252433,57
1779243765011,597779.272689,57
1779243765031,597779.292964,56
1779243765051,597779.313231,56
1779243765071,597779.333488,55
1779243765092,597779.353740,55
1779243765112,597779.373996,54
1779243765132,597779.394304,53
1779243765147,597779.409540,53
1779243765169,597779.430669,54
1779243765189,597779.450974,52
1779243765209,597779.471226,52
1779243765230,597779.491748,55
1779243765250,597779.512044,55
1779243765270,597779.532347,54
1779243765291,597779.552643,53
1779243765311,597779.572930,51
1779243765331,597779.593188,55
1779243765351,597779.613444,50
1779243765372,597779.633701,50
1779243765388,597779.650201,54
1779243765409,597779.671415,49
1779243765430,597779.692405,47
1779243765451,597779.712657,47
1779243765471,597779.732931,47
1779243765491,597779.753205,47
1779243765512,597779.774395,46
1779243765527,597779.789612,46
1779243765549,597779.811131,46
1779243765569,597779.831427,46
1779243765590,597779.851713,46
1779243765610,597779.871995,49
1779243765630,597779.892279,47
1779243765650,597779.912556,45
1779243765671,597779.932815,44
1779243765686,597779.948041,44
1779243765706,597779.968356,41
1779243765727,597779.988623,40
1779243765749,597780.010791,38
1779243765769,597780.031071,33
1779243765789,597780.051341,34
1779243765810,597780.071853,34
1779243765830,597780.092135,32
1779243765850,597780.112437,34
1779243765866,597780.127653,33
1779243765887,597780.149359,35
1779243765908,597780.169650,33
1779243765928,597780.190034,34
1779243765948,597780.210569,35
1779243765969,597780.230858,32
1779243765989,597780.251193,31
1779243766009,597780.271487,28
1779243766030,597780.291830,29
1779243766045,597780.307042,27
1779243766065,597780.327355,27
1779243766085,597780.347618,26
1779243766106,597780.367932,24
1779243766126,597780.388217,24
1779243766146,597780.408487,26
1779243766167,597780.428824,25
1779243766187,597780.449127,26
1779243766207,597780.469444,22
1779243766228,597780.489721,22
1779243766248,597780.509998,23
1779243766268,597780.530394,23
1779243766289,597780.550687,25
1779243766309,597780.570997,25
1779243766326,597780.588120,25
1779243766346,597780.608385,26
1779243766367,597780.628654,26
1779243766387,597780.648938,25
1779243766407,597780.669225,25
1779243766427,597780.689531,23
1779243766448,597780.709796,22
1779243766468,597780.730068,24
1779243766488,597780.750339,25
1779243766503,597780.765564,25
1779243766524,597780.786300,25
1779243766545,597780.807215,25
1779243766566,597780.827700,26
1779243766587,597780.848974,25
1779243766607,597780.869222,25
1779243766627,597780.889503,25
1779243766648,597780.909768,24
1779243766663,597780.924977,24
1779243766683,597780.945207,26
1779243766703,597780.965455,23
1779243766724,597780.985805,25
1779243766744,597781.006123,27
1779243766764,597781.026430,30
1779243766785,597781.046788,34
1779243766805,597781.067390,35
1779243766826,597781.087640,36
1779243766846,597781.107928,39
1779243766866,597781.128217,37
1779243766886,597781.148455,37
1779243766907,597781.168813,38
1779243766922,597781.184036,39
1779243766942,597781.204289,40
1779243766962,597781.224529,46
1779243766983,597781.245247,43
